1;Dojo Burgien;1 rue du Docteur DUBY;01000;BOURG EN BRESSE;1
2;Saint-Denis Dojo;239 Allées des sports;1000;ST DENIS LES BOURG;1
3;Judo Club Vallée Arbent;rue du Général ANDREA;1100;ARBENT;1
4;Belli Judo;1 rue du Bac;1100;BELLIGNAT;1
5;Racing Club Montluel Judo;170 rue des Chartinières;1120;DAGNEUX;1
6;Centre Arts Martiaux Pondinois;rue de l'Oiselon;1160;PONT D AIN;1
7;Judo Club Ornex;58 rue des Pralets;1210;ORNEX;1
8;Dojo Gessien Valserine;Avenue des Voirons;1220;DIVONNE LES BAINS;1
9;Dojo La Vallière;Complexe Sportif;1250;MONTAGNAT;1
10;Football club Merville;Rue Emile Pouvillon;31330;MERVILLE;2
11;Football Club Bassin d'Arcachon;Boulevard Mestrezat - Stade jean Brousse;33120;ARCACHON;3
12;Andernos Sport Football Club;Plaine des Sports Jacques Rosazza;33510;ANDERNOS LES BAINS;3